,Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
152,2020-03-15,Kerala,23,0,3,10.8505,76.2711,0,23
149,2020-03-15,Delhi,7,0,2,28.7041,77.1025,1,7
157,2020-03-15,Telengana,3,0,1,18.1124,79.0193,0,3
155,2020-03-15,Rajasthan,2,2,3,27.0238,74.2179,0,4
150,2020-03-15,Haryana,0,14,0,29.0588,76.0856,0,14
160,2020-03-15,Uttar Pradesh,12,1,4,26.8467,80.9462,0,13
156,2020-03-15,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
159,2020-03-15,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,3
151,2020-03-15,Karnataka,6,0,0,15.3173,75.7139,1,6
153,2020-03-15,Maharashtra,32,0,0,19.7515,75.7139,0,32
154,2020-03-15,Punjab,1,0,0,31.1471,75.3412,0,1
158,2020-03-15,Union Territory of Jammu and Kashmir,2,0,0,33.7782,76.5762,0,2
148,2020-03-15,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
161,2020-03-15,Uttarakhand,1,0,0,30.0668,79.0193,0,1
